Name,Created,Tags
CSRF,"April 23, 2025 11:39 PM",
Clickjacking,"April 26, 2025 1:47 PM",
GraphQL API,"April 27, 2025 4:49 PM",
CORS,"April 29, 2025 9:58 PM",
NoSQL Injection,"May 1, 2025 1:33 PM",
Race Condition,"May 3, 2025 4:46 PM",
Authentication,"May 5, 2025 4:34 PM",
SSRF,"May 7, 2025 12:48 PM",
Prototype pollution,"May 9, 2025 11:21 AM",
File Uploads,"May 10, 2025 11:31 AM",
Path traversal,"May 12, 2025 9:53 PM",
Websockets,"May 13, 2025 1:36 PM",
Web cache deception,"May 19, 2025 2:50 PM",
