Name,Created,Tags
$ p4ssive_fuzz,"December 17, 2024 10:49 PM",refreshers
$ 4ctive_fuzz,"December 17, 2024 11:34 PM",refreshers
$ sqli,"December 20, 2024 4:28 PM",refreshers
$ xxe,"December 26, 2024 5:04 PM",refreshers
$ cmdi,"January 5, 2025 12:55 PM",refreshers
$ ssti,"January 12, 2025 2:39 PM",refreshers
$ ssrf,"January 12, 2025 3:47 PM",refreshers
$ phpi,"January 20, 2025 6:28 PM",refreshers
$ sysvuln,"January 24, 2025 9:45 PM",
$authbypass,"January 31, 2025 12:15 AM",
$ misconfig,"February 6, 2025 7:38 PM",
clientattacks,"February 15, 2025 1:46 PM",
privelege_escalation,"February 22, 2025 12:45 PM",
extras,"February 24, 2025 1:03 PM",
