Name,Created,Tags
CSRF,"April 23, 2025 11:39 PM",
Clickjacking,"April 26, 2025 1:47 PM",
GraphQL API,"April 27, 2025 4:49 PM",
CORS,"April 29, 2025 9:58 PM",
NoSQL Injection,"May 1, 2025 1:33 PM",
Race Condition,"May 3, 2025 4:46 PM",
Authentication,"May 5, 2025 4:34 PM",
SSRF,"May 7, 2025 12:48 PM",
Prototype pollution,"May 9, 2025 11:21 AM",
File Uploads,"May 10, 2025 11:31 AM",
Path traversal,"May 12, 2025 9:53 PM",
Websockets,"May 13, 2025 1:36 PM",
Web cache deception,"May 19, 2025 2:50 PM",
SQLi,"May 21, 2025 8:49 PM",
Command Injection,"July 9, 2025 6:31 PM",
Business logic flaws,"July 11, 2025 1:22 PM",
Information Disclosure,"July 15, 2025 3:51 PM",
Host Header Attacks,"September 4, 2025 9:53 AM",
HTTP Request Smuggling,"September 4, 2025 1:52 PM",
Web Cache Poisoning,"September 15, 2025 2:02 PM",
Insecure deserialization,"September 28, 2025 10:16 PM",
Access control,"October 15, 2025 10:57 PM",
OAuth,"October 20, 2025 10:44 AM",
JWT Attacks,"October 26, 2025 1:58 PM",
SSTI,"October 28, 2025 1:52 PM",
XXE,"October 29, 2025 1:39 PM",
XSS,"November 4, 2025 8:59 PM",
DOM Based Vulnerabilities,"November 4, 2025 8:59 PM",
API Attacks,"December 4, 2025 10:02 AM",
LLM Attacks,"December 4, 2025 10:25 AM",
